nom;group;mat_polok;h;n;s;p
Холодильник Midea MDRE353FGF01;Холодильники;Закаленное стекло;179;4;26;58720
Холодильник Don R-291G (Графит);Холодильники;Закаленное стекло;180;4;26;32040
Холодильник Don R-297NG (Нерж. сталь);Холодильники;Закаленное стекло;201;4;26;35530
Холодильник Hotpoint HT 7201I M O3;Холодильники;Закаленное стекло;196;5;26;36240
Холодильник Indesit DS 4160G;Холодильники;Закаленное стекло;167;3;26;28230
Холодильник Maunfeld MFF50WD;Холодильники;Закаленное стекло;50;1;26;9740
Холодильник Бирюса М980NF;Холодильники;Закаленное стекло;207;4;26;39590
Холодильник Beko B3RCNK402HSB;Холодильники;Закаленное стекло;201;4;27;37560
Холодильник Don R-290G (Графит);Холодильники;Закаленное стекло;171;3;27;29940
Холодильник Gorenje NRK6202EW4;Холодильники;Закаленное стекло;200;5;27;45780
Холодильник Indesit ITR 5200S;Холодильники;Закаленное стекло;196;4;27;34980
Холодильник Бирюса 6042;Холодильники;Закаленное стекло;145;5;27;23860
Холодильник Beko BCHA2752S;Холодильники;Закаленное стекло;178;4;28;51120
Холодильник Atlant 1602-140;Холодильники;Закаленное стекло;187;6;28;36990
Холодильник Beko B3R0CNK312HW;Холодильники;Закаленное стекло;184;4;28;33330
Холодильник Don R-290MI (Металлик);Холодильники;Закаленное стекло;171;3;28;29940
Холодильник Manya SBS196MNBE;Холодильники;Закаленное стекло;193;3;28;85930
Холодильник Бирюса 6031;Холодильники;Закаленное стекло;192;3;28;31310
Холодильник Бирюса 840NF;Холодильники;Закаленное стекло;192;3;28;31230
Холодильник Atlant 4010-022;Холодильники;Закаленное стекло;161;3;29;26330
Холодильник Midea MDRS791MIE33;Холодильники;Закаленное стекло;178;4;29;84670
Холодильник Бирюса 980NF;Холодильники;Закаленное стекло;207;4;29;37700
Холодильник Comfee RCD115WH1R;Холодильники;Закаленное стекло;85;2;30;13790
Холодильник Don R-299G (Графит);Холодильники;Закаленное стекло;216;5;30;34460
Холодильник Gorenje NRK6202EXL4;Холодильники;Закаленное стекло;200;5;30;45780
Холодильник Don R-291MI (Металлик);Холодильники;Закаленное стекло;181;4;31;31230
Холодильник Бирюса 6027;Холодильники;Закаленное стекло;190;4;31;29110
Холодильник Atlant 5810-62;Холодильники;Закаленное стекло;150;5;32;25300
Холодильник Beko RCSK270M20S;Холодильники;Закаленное стекло;171;3;32;26730
Холодильник Atlant 4009-022;Холодильники;Закаленное стекло;157;4;33;26410
Холодильник Indesit DS 4180E;Холодильники;Закаленное стекло;185;3;33;30180
Холодильник LG GA-B509MAWL;Холодильники;Закаленное стекло;203;5;33;61950
Холодильник Manya SBS196MNGB;Холодильники;Закаленное стекло;193;3;33;93360
Холодильник Midea MDRS791MIE28;Холодильники;Закаленное стекло;178;4;33;72020
Холодильник Бирюса 6032;Холодильники;Закаленное стекло;180;4;33;29750
Холодильник Hotpoint HBT 400I;Холодильники;Закаленное стекло;194;3;34;87730
Холодильник Atlant 4026-000;Холодильники;Закаленное стекло;205;4;34;32760
Холодильник Beko CSKW335M20W;Холодильники;Закаленное стекло;201;4;34;27230
Холодильник Don R-407 B;Холодильники;Металл/стекло;85;3;34;16360
Холодильник Manya SBS196MNGS;Холодильники;Закаленное стекло;193;3;34;93360
Холодильник LG GC-B401FAPM+Морозильник LG GC-B404FAQM;Холодильники;Закаленное стекло;186;5;35;170480
Холодильник Indesit ITR 4160E;Холодильники;Закаленное стекло;167;3;36;33100
Холодильник LG GA-B509CQTL;Холодильники;Закаленное стекло;203;4;36;63450
Холодильник LG GC-Q22FTAKL;Холодильники;Закаленное стекло;179;3;37;145370
Холодильник Бирюса 6033;Холодильники;Закаленное стекло;175;3;37;26850
Холодильник Бирюса 6049;Холодильники;Закаленное стекло;207;4;37;32370
Холодильник Саратов 452 (КШ-120);Холодильники;Закаленное стекло;87;3;37;16300
Холодильник Atlant 4008-022;Холодильники;Закаленное стекло;142;3;38;26030
Холодильник Hotpoint HT 7201I AB O3;Холодильники;Закаленное стекло;196;5;38;44220
Холодильник Indesit TT85 тик;Холодильники;Металл;85;2;38;18800
Холодильник LG GC-Q257CBFC;Холодильники;Закаленное стекло;179;4;38;135440
Холодильник LG GC-Q257CBFV;Холодильники;Закаленное стекло;179;4;38;139650
Холодильник Indesit ES 15 A;Холодильники;Закаленное стекло;150;3;39;25000
Холодильник Indesit ITS 4200NG;Холодильники;Закаленное стекло;196;4;39;35190
Холодильник Hotpoint HT 4200 S;Холодильники;Закаленное стекло;196;4;40;36480
Холодильник LG GA-B509CMUM;Холодильники;Закаленное стекло;203;4;40;62650
Холодильник LG GC-B459SQUM;Холодильники;Закаленное стекло;186;3;40;49650
Холодильник Саратов 263 (КШД 200/30);Холодильники;Закаленное стекло;148;4;40;20680
Холодильник Atlant 4021-000;Холодильники;Закаленное стекло;186;4;41;28840
Холодильник Midea MDRB470MGF46O;Холодильники;Закаленное стекло;185;3;41;43860
Холодильник Don R-299MI (Металлик);Холодильники;Закаленное стекло;216;5;43;34460
Холодильник LG GC-B459SMUM;Холодильники;Закаленное стекло;186;3;43;51650
Холодильник Бирюса 124;Холодильники;Закаленное стекло;158;4;43;23350
Холодильник Indesit DS 4200E;Холодильники;Закаленное стекло;200;4;44;32130
Холодильник LG GC-B509MLWM;Холодильники;Закаленное стекло;203;4;44;59140
Холодильник Manya SBS196MNGW;Холодильники;Закаленное стекло;193;3;44;93360
Холодильник Бирюса 860NF;Холодильники;Закаленное стекло;190;4;44;30620
Холодильник Бирюса М50;Холодильники;Металл;49;1;44;9060
Холодильник Manya BR191NZ5;Холодильники;Закаленное стекло;194;5;45;66240
Холодильник Atlant 2835-90;Холодильники;Закаленное стекло;163;4;45;26370
Холодильник Atlant 6021-031;Холодильники;Закаленное стекло;186;4;45;33790
Холодильник Beko B5RCNK363ZWB;Холодильники;Закаленное стекло;186;3;45;42410
Холодильник Indesit DS 4160E;Холодильники;Закаленное стекло;167;3;45;27810
Холодильник Beko B1RCNK332W;Холодильники;Закаленное стекло;201;4;47;34010
Холодильник Don R-295G (Графит);Холодильники;Закаленное стекло;196;5;47;33540
Холодильник Maunfeld MFF83WD;Холодильники;Закаленное стекло;83;2;47;13460
Холодильник Бирюса 6034;Холодильники;Закаленное стекло;165;3;47;26650
Холодильник LG GA-B509CQWL;Холодильники;Закаленное стекло;203;5;48;53650
Холодильник Hotpoint HT 7201I MX O3;Холодильники;Закаленное стекло;196;5;49;37120
Холодильник Indesit TT85;Холодильники;Металл;85;2;49;17280
Холодильник Бирюса 107;Холодильники;Закаленное стекло;145;4;49;19940
Холодильник Beko DSMV5280MA0S;Холодильники;Закаленное стекло;160;4;50;25520
Холодильник Comfee RCD76WH1R;Холодильники;Закаленное стекло;49;1;50;8510
Холодильник Don R-536 B;Холодильники;Закаленное стекло;131;5;50;20620
Холодильник Don R-295MI (Металлик);Холодильники;Закаленное стекло;196;5;51;33540
Холодильник Don R-236B (Белый);Холодильники;Закаленное стекло;175;5;53;27140
Холодильник Indesit ITD 167W;Холодильники;Металл;167;4;53;22210
Холодильник Manya SBS184NGB;Холодильники;Закаленное стекло;182;4;54;72200
Холодильник Atlant 4025-000;Холодильники;Закаленное стекло;205;4;56;32820
Холодильник Бирюса 820NF;Холодильники;Закаленное стекло;175;3;56;27860
Холодильник Atlant 4012-022;Холодильники;Закаленное стекло;176;4;58;28660
Холодильник Atlant 4023-000;Холодильники;Закаленное стекло;195;4;58;29410
Холодильник Atlant 4024-000;Холодильники;Закаленное стекло;195;4;60;29710
Холодильник Midea MDRB470MGF33O;Холодильники;Закаленное стекло;185;3;60;42160
Холодильник Бирюса 111;Холодильники;Закаленное стекло;123;4;60;18080
Холодильник Atlant 6025-031;Холодильники;Закаленное стекло;205;4;61;38090
Холодильник Manya BR-M194NZ;Холодильники;Закаленное стекло;194;5;62;69540
Холодильник Atlant 6024-031;Холодильники;Закаленное стекло;195;4;62;35020
Холодильник Manya SBS191MNGWZ1;Холодильники;Закаленное стекло;189;4;62;66490
Холодильник Samsung RB-33A32N0EL;Холодильники;Закаленное стекло;185;4;62;49800
Холодильник Бирюса 10;Холодильники;Закаленное стекло;122;3;62;19620
Холодильник Don R-297G (Графит);Холодильники;Закаленное стекло;201;4;63;34530
Холодильник Indesit ES 15;Холодильники;Закаленное стекло;150;3;63;21370
Холодильник Бирюса 120;Холодильники;Закаленное стекло;165;3;63;25810
Холодильник Don R-297MI (Металлик);Холодильники;Закаленное стекло;201;4;64;33660
Холодильник LG GC-B257SSZV;Холодильники;Закаленное стекло;179;4;64;112950
Холодильник Manya RB205NBE;Холодильники;Закаленное стекло;200;4;64;48360
Холодильник Maunfeld MFF83B;Холодильники;Закаленное стекло;83;2;64;12730
Холодильник Samsung RB-33A3440SA;Холодильники;Закаленное стекло;185;4;64;48500
Холодильник Indesit ITR 4180E;Холодильники;Закаленное стекло;185;4;66;35050
Холодильник Бирюса 880NF;Холодильники;Закаленное стекло;207;4;67;31190
Холодильник Бирюса М70;Холодильники;Металл;63;2;67;11190
Холодильник Indesit DS 4180G;Холодильники;Закаленное стекло;185;3;68;30180
Холодильник Samsung BRB30715EWW;Холодильники;Закаленное стекло;194;5;69;109740
Холодильник Don R-405 B;Холодильники;Металл/стекло;85;2;71;16580
Холодильник LG GC-B459SEUM;Холодильники;Закаленное стекло;186;3;71;51650
Холодильник Beko B5RCNK363ZW;Холодильники;Закаленное стекло;186;3;72;42290
Холодильник Hotpoint HT 4180 S;Холодильники;Закаленное стекло;185;4;74;33390
Холодильник LG GC-B509MEWM;Холодильники;Закаленное стекло;203;4;74;59140
Холодильник Manya SBS184NGS;Холодильники;Закаленное стекло;182;4;74;64400
Холодильник Бирюса 90;Холодильники;Металл;85;3;75;14140
Холодильник Бирюса М90;Холодильники;Металл;85;3;75;14280
Холодильник Beko B1RCSK332W;Холодильники;Закаленное стекло;201;4;76;30040
Холодильник Manya SBS184NGW;Холодильники;Закаленное стекло;182;4;77;72200
Холодильник LG GC-Q22FTBKL;Холодильники;Закаленное стекло;179;3;78;145370
Холодильник Indesit ITS 4200G;Холодильники;Закаленное стекло;196;4;79;35190
Холодильник Comfee RCD98WH1R;Холодильники;Закаленное стекло;63;2;80;10340
Холодильник Midea MDRB470MGF01O;Холодильники;Закаленное стекло;185;3;80;40510
Холодильник Midea MDRB521MIE46OD;Холодильники;Закаленное стекло;202;3;81;48690
Холодильник LG GC-B401FEPM+Морозильник LG GC-B404FEQM;Холодильники;Закаленное стекло;186;5;82;176340
Холодильник Бирюса 118;Холодильники;Закаленное стекло;145;3;82;23680
Холодильник Beko CSMV5335MC0S;Холодильники;Закаленное стекло;201;4;83;30260
Холодильник LG GA-B509CQSL;Холодильники;Закаленное стекло;203;5;83;58950
Холодильник Бирюса 95;Холодильники;Закаленное стекло;86;3;83;14140
Холодильник Manya SBS191MNGGZ1;Холодильники;Закаленное стекло;189;4;84;66490
Холодильник LG GC-B257SEZV;Холодильники;Закаленное стекло;179;4;85;106650
Холодильник Бирюса 6;Холодильники;Закаленное стекло;145;4;85;21240
Холодильник LG GC-B569PMCM;Холодильники;Закаленное стекло;185;3;86;83350
Холодильник Beko B1RCSK312W;Холодильники;Закаленное стекло;184;4;87;28970
Холодильник Indesit TIA 16 G;Холодильники;Закаленное стекло;167;4;88;26000
Холодильник LG GC-B459SBUM;Холодильники;Закаленное стекло;186;3;89;51650
Холодильник Бирюса 109;Холодильники;Закаленное стекло;87;3;89;15770
Холодильник Бирюса 151;Холодильники;Закаленное стекло;145;3;90;24290
Холодильник Indesit TIA 14;Холодильники;Закаленное стекло;145;3;91;24340
Холодильник Atlant 6023-031;Холодильники;Закаленное стекло;195;4;92;34830
Холодильник Indesit ITR 4200E;Холодильники;Закаленное стекло;195;4;92;37970
Холодильник Indesit ITS 4180G;Холодильники;Закаленное стекло;185;4;92;30740
Холодильник Beko B5RCNK363ZXBR;Холодильники;Закаленное стекло;186;3;93;41510
Холодильник Beko DSMV5280MA0W;Холодильники;Закаленное стекло;160;4;93;24430
Холодильник Hotpoint HT 5200 AB;Холодильники;Закаленное стекло;196;4;93;39390
Холодильник Beko CSKW310M20W;Холодильники;Закаленное стекло;184;4;95;26910
Холодильник Hotpoint HT 4200 AB;Холодильники;Закаленное стекло;196;4;95;37600
Холодильник Don R-226B (Белый);Холодильники;Закаленное стекло;154;4;96;25410
Холодильник Manya SBS191MNGBZ1;Холодильники;Закаленное стекло;189;4;97;66490
Холодильник Comfee RCT284WH1R;Холодильники;Закаленное стекло;143;4;98;19950
Холодильник Indesit ITR 4200S;Холодильники;Закаленное стекло;195;4;98;33030
Холодильник LG GA-B509CLSL;Холодильники;Закаленное стекло;203;5;98;60750
Холодильник Hotpoint HT 5200 S;Холодильники;Закаленное стекло;196;4;103;38030
Холодильник LG GA-B509DQXL;Холодильники;Закаленное стекло;203;5;103;59950
Холодильник Manya SBS191MNGSZ1;Холодильники;Закаленное стекло;189;4;104;66490
Холодильник Саратов 284;Холодильники;Закаленное стекло;149;3;105;22900
Холодильник Hotpoint HT 5200 W;Холодильники;Закаленное стекло;196;4;109;37140
Холодильник Indesit ITS 5200G;Холодильники;Закаленное стекло;196;4;109;37750
Холодильник LG GC-B257SBZV;Холодильники;Закаленное стекло;179;4;109;109950
Холодильник Beko RDSK240M00S;Холодильники;Закаленное стекло;146;4;111;24010
Холодильник Manya RB205NGW;Холодильники;Закаленное стекло;200;4;111;53650
Холодильник Don R-216B (Белый);Холодильники;Закаленное стекло;142;4;113;24220
Холодильник Don R-296B (Белый);Холодильники;Закаленное стекло;191;3;114;32050
Холодильник LG GC-B509SBSM;Холодильники;Закаленное стекло;203;4;116;64550
Холодильник Саратов 452;Холодильники;Пластик;90;2;116;16480
Холодильник Саратов 549;Холодильники;Закаленное стекло;117;4;116;16720
Холодильник Don R-299B (Белый);Холодильники;Закаленное стекло;216;5;120;32800
Холодильник Midea MDRB521MIE28OD;Холодильники;Закаленное стекло;202;3;124;47920
Холодильник LG GC-B569PBCM;Холодильники;Закаленное стекло;185;3;125;83350
Холодильник Indesit ITS 5200NG;Холодильники;Закаленное стекло;196;4;127;35560
Холодильник LG GC-B459MQWM;Холодильники;Закаленное стекло;186;3;127;53160
Холодильник Manya RB205NGS;Холодильники;Закаленное стекло;200;4;127;53690
Холодильник Бирюса 108;Холодильники;Закаленное стекло;87;2;129;16180
Холодильник LG GA-B509CESL;Холодильники;Закаленное стекло;203;5;131;60770
Холодильник LG GC-B257JEYV;Холодильники;Закаленное стекло;179;4;131;89650
Холодильник Atlant 1602-100;Холодильники;Закаленное стекло;187;6;134;32070
Холодильник Бирюса 110;Холодильники;Закаленное стекло;123;3;134;18260
Холодильник Бирюса 122;Холодильники;Закаленное стекло;123;3;136;21820
Холодильник Beko B1RCNK312W;Холодильники;Закаленное стекло;184;4;137;34190
Холодильник Manya RB205NGB;Холодильники;Закаленное стекло;200;4;137;53170
Холодильник Indesit ITR 4160W;Холодильники;Закаленное стекло;167;3;138;29150
Холодильник LG GC-B257JLYV;Холодильники;Закаленное стекло;179;4;146;89650
Холодильник Midea MDRB521MIE01OD;Холодильники;Закаленное стекло;202;3;146;39190
Холодильник Beko RCNK270K20S;Холодильники;Закаленное стекло;171;3;147;33000
Холодильник Hotpoint HBT 20I;Холодильники;Закаленное стекло;194;4;151;76150
Холодильник LG GC-B459MEWM;Холодильники;Закаленное стекло;186;3;153;54200
Холодильник Hotpoint HT 4180 AB;Холодильники;Закаленное стекло;185;4;154;33120
Холодильник Beko BCNA306E2S;Холодильники;Закаленное стекло;194;4;156;68330
Холодильник Hotpoint HT 7201I W O3;Холодильники;Закаленное стекло;196;5;156;41920
Холодильник Саратов 264;Холодильники;Закаленное стекло;123;3;157;19760
Холодильник LG GC-B509SASM;Холодильники;Закаленное стекло;203;4;162;67770
Холодильник Midea MDRB521MIE33OD;Холодильники;Закаленное стекло;202;3;163;42120
Холодильник LG GC-B459MLWM;Холодильники;Закаленное стекло;186;3;168;54200
Холодильник LG GC-B569PECM;Холодильники;Закаленное стекло;185;3;170;80050
Холодильник Бирюса 70;Холодильники;Металл;63;2;171;11030
Холодильник Don R-291B (Белый);Холодильники;Закаленное стекло;181;4;173;29730
Холодильник Indesit TIA 16;Холодильники;Закаленное стекло;167;4;175;24000
Холодильник Beko RCNK335K00W;Холодильники;Закаленное стекло;201;4;177;32480
Холодильник Бирюса 8;Холодильники;Закаленное стекло;85;2;177;17170
Холодильник Don R-290B (Белый);Холодильники;Закаленное стекло;171;3;181;27770
Холодильник Don R-295B (Белый);Холодильники;Закаленное стекло;196;5;190;31130
Холодильник Beko RCNK270K20W;Холодильники;Закаленное стекло;171;3;199;33760
Холодильник Indesit DS 4200W;Холодильники;Закаленное стекло;200;4;212;30810
Холодильник Don R-297B (Белый);Холодильники;Закаленное стекло;201;4;213;32060
Холодильник Gorenje R291PW4;Холодильники;Закаленное стекло;84;2;215;13450
Холодильник LG GC-B509SESM;Холодильники;Закаленное стекло;203;4;216;55650
Холодильник Саратов 263;Холодильники;Закаленное стекло;149;4;219;21240
Холодильник LG GC-B509SQSM;Холодильники;Закаленное стекло;203;4;225;58650
Холодильник Indesit ITR 5200W;Холодильники;Закаленное стекло;196;4;227;36110
Холодильник Саратов 451;Холодильники;Пластик/стекло;117;3;244;17740
Холодильник Beko RCSK270M20W;Холодильники;Закаленное стекло;171;3;252;26590
Холодильник LG GA-B509SQKL;Холодильники;Закаленное стекло;203;5;254;59100
Холодильник Beko RCNK310KC0W;Холодильники;Закаленное стекло;184;4;270;30620
Холодильник Beko RDSK240M00W;Холодильники;Закаленное стекло;146;4;272;24180
Холодильник LG GC-B509SLCL;Холодильники;Закаленное стекло;203;5;289;61850
Холодильник LG GC-B509SMUM;Холодильники;Закаленное стекло;203;4;303;73800
Холодильник LG GC-B509SQCL;Холодильники;Закаленное стекло;203;5;304;58450
Холодильник Indesit DS 4160W;Холодильники;Закаленное стекло;167;3;323;25030
Холодильник LG GC-B459SQCL;Холодильники;Закаленное стекло;186;4;325;51800
Холодильник Beko RCSK250M00W;Холодильники;Закаленное стекло;158;3;327;24690
Холодильник LG GC-B459SLCL;Холодильники;Закаленное стекло;186;4;338;53150
Холодильник Бирюса 50;Холодильники;Металл;49;1;348;8910
Холодильник LG GC-B459SECL;Холодильники;Закаленное стекло;186;4;354;52650
Холодильник Beko B5RCNK403ZWB;Холодильники;Закаленное стекло;201;4;359;46870
Холодильник LG GC-B509SEUM;Холодильники;Закаленное стекло;203;4;365;66650
Холодильник LG GA-B509CLWL;Холодильники;Закаленное стекло;203;5;380;61350
Холодильник LG GC-B509SBUM;Холодильники;Закаленное стекло;203;4;417;73800
Холодильник LG GC-B509SECL;Холодильники;Закаленное стекло;203;5;420;56500
Холодильник Indesit DS 4180W;Холодильники;Закаленное стекло;185;3;465;27310
Холодильник Indesit ITR 4200W;Холодильники;Закаленное стекло;200;4;505;34200
Холодильник Beko B5RCNK403ZW;Холодильники;Закаленное стекло;201;4;959;40780
Холодильник Beko B5RCNK403ZXBR;Холодильники;Закаленное стекло;201;4;1097;42270
Холодильник Beko B3RCNK402HW;Холодильники;Закаленное стекло;201;4;1112;38060
Холодильник Beko B3RCNK402HX;Холодильники;Закаленное стекло;201;4;1279;39240
Холодильник Indesit ITR 4180W;Холодильники;Закаленное стекло;185;4;1413;29930